"feature","featureImportance","class","IsIndSp","prevalence","comparison","source","data","prev_rate","replica_comp"
"Parupeneus barberinoides",0.7,"BAR",1,35,"BAR_LAG","indval","pres/abs","prev_0","ABORE_vs_MBERE"
"Parupeneus multifasciatus",0.6,"BAR",1,30,"BAR_LAG","indval","pres/abs","prev_0","ABORE_vs_MBERE"
"Parupeneus pleurostigma",0.9,"BAR",1,45,"BAR_LAG","indval","pres/abs","prev_0","ABORE_vs_MBERE"
"Pomacentrus coelestis",0.6,"BAR",1,30,"BAR_LAG","indval","pres/abs","prev_0","ABORE_vs_MBERE"
"Pseudalutarius nasicornis",0.5,"LAG",1,25,"BAR_LAG","indval","pres/abs","prev_0","ABORE_vs_MBERE"
"Pseudobalistes fuscus",0.5,"BAR",1,25,"BAR_LAG","indval","pres/abs","prev_0","ABORE_vs_MBERE"
"Scarus psittacus",0.5,"BAR",1,25,"BAR_LAG","indval","pres/abs","prev_0","ABORE_vs_MBERE"
"Sufflamen chrysopterum",0.5,"BAR",1,25,"BAR_LAG","indval","pres/abs","prev_0","ABORE_vs_MBERE"
"Synodus variegatus",0.7,"LAG",1,35,"BAR_LAG","indval","pres/abs","prev_0","ABORE_vs_MBERE"
"Thalassoma lunare",0.9,"BAR",1,45,"BAR_LAG","indval","pres/abs","prev_0","ABORE_vs_MBERE"
"Pentapodus nagasakiensis",0.5,"LAG",1,25,"BAY_LAG","indval","pres/abs","prev_0","ABORE_vs_MBERE"
"Pseudalutarius nasicornis",0.5,"LAG",1,25,"BAY_LAG","indval","pres/abs","prev_0","ABORE_vs_MBERE"
"Acanthurus blochii",0.3,"OFFSHORE",1,10,"INSHORE_OFFSHORE","indval","pres/abs","prev_0","ABORE_vs_MBERE"
"Atule mate",0.55,"INSHORE",1,36.667,"INSHORE_OFFSHORE","indval","pres/abs","prev_0","ABORE_vs_MBERE"
"Canthigaster valentini",0.3,"OFFSHORE",1,10,"INSHORE_OFFSHORE","indval","pres/abs","prev_0","ABORE_vs_MBERE"
"Centropyge tibicen",0.4,"OFFSHORE",1,13.333,"INSHORE_OFFSHORE","indval","pres/abs","prev_0","ABORE_vs_MBERE"
"Chaetodon auriga",0.6,"OFFSHORE",1,20,"INSHORE_OFFSHORE","indval","pres/abs","prev_0","ABORE_vs_MBERE"
"Chaetodon kleinii",0.5,"OFFSHORE",1,16.667,"INSHORE_OFFSHORE","indval","pres/abs","prev_0","ABORE_vs_MBERE"
"Chaetodon mertensii",0.3,"OFFSHORE",1,10,"INSHORE_OFFSHORE","indval","pres/abs","prev_0","ABORE_vs_MBERE"
"Chromis viridis",0.5,"OFFSHORE",1,16.667,"INSHORE_OFFSHORE","indval","pres/abs","prev_0","ABORE_vs_MBERE"
"Dascyllus aruanus",0.6,"OFFSHORE",1,20,"INSHORE_OFFSHORE","indval","pres/abs","prev_0","ABORE_vs_MBERE"
"Decapterus macarellus",0.4,"INSHORE",1,26.667,"INSHORE_OFFSHORE","indval","pres/abs","prev_0","ABORE_vs_MBERE"
"Gymnocranius grandoculis",0.3,"OFFSHORE",1,10,"INSHORE_OFFSHORE","indval","pres/abs","prev_0","ABORE_vs_MBERE"
"Halichoeres trimaculatus",0.853,"OFFSHORE",1,33.333,"INSHORE_OFFSHORE","indval","pres/abs","prev_0","ABORE_vs_MBERE"
"Labroides dimidiatus",0.3,"OFFSHORE",1,10,"INSHORE_OFFSHORE","indval","pres/abs","prev_0","ABORE_vs_MBERE"
"Lethrinus genivittatus",0.909,"INSHORE",1,70,"INSHORE_OFFSHORE","indval","pres/abs","prev_0","ABORE_vs_MBERE"
"Lethrinus obsoletus",0.5,"INSHORE",1,33.333,"INSHORE_OFFSHORE","indval","pres/abs","prev_0","ABORE_vs_MBERE"
"Lethrinus rubrioperculatus",0.853,"OFFSHORE",1,33.333,"INSHORE_OFFSHORE","indval","pres/abs","prev_0","ABORE_vs_MBERE"
"Lethrinus variegatus",0.6,"OFFSHORE",1,20,"INSHORE_OFFSHORE","indval","pres/abs","prev_0","ABORE_vs_MBERE"
"Nemipterus peronii",0.85,"INSHORE",1,56.667,"INSHORE_OFFSHORE","indval","pres/abs","prev_0","ABORE_vs_MBERE"
"Oxycheilinus bimaculatus",0.9,"OFFSHORE",1,30,"INSHORE_OFFSHORE","indval","pres/abs","prev_0","ABORE_vs_MBERE"
"Oxycheilinus nigromarginatus",0.3,"OFFSHORE",1,10,"INSHORE_OFFSHORE","indval","pres/abs","prev_0","ABORE_vs_MBERE"
"Parapercis australis",0.9,"OFFSHORE",1,30,"INSHORE_OFFSHORE","indval","pres/abs","prev_0","ABORE_vs_MBERE"
"Parupeneus barberinoides",0.7,"OFFSHORE",1,23.333,"INSHORE_OFFSHORE","indval","pres/abs","prev_0","ABORE_vs_MBERE"
"Parupeneus multifasciatus",0.6,"OFFSHORE",1,20,"INSHORE_OFFSHORE","indval","pres/abs","prev_0","ABORE_vs_MBERE"
"Parupeneus pleurostigma",0.9,"OFFSHORE",1,30,"INSHORE_OFFSHORE","indval","pres/abs","prev_0","ABORE_vs_MBERE"
"Pentapodus nagasakiensis",0.516,"OFFSHORE",1,40,"INSHORE_OFFSHORE","indval","pres/abs","prev_0","ABORE_vs_MBERE"
"Plagiotremus tapeinosoma",0.4,"OFFSHORE",1,13.333,"INSHORE_OFFSHORE","indval","pres/abs","prev_0","ABORE_vs_MBERE"
"Pomacentrus coelestis",0.6,"OFFSHORE",1,20,"INSHORE_OFFSHORE","indval","pres/abs","prev_0","ABORE_vs_MBERE"
"Pomacentrus moluccensis",0.3,"OFFSHORE",1,10,"INSHORE_OFFSHORE","indval","pres/abs","prev_0","ABORE_vs_MBERE"
"Pseudobalistes fuscus",0.5,"OFFSHORE",1,16.667,"INSHORE_OFFSHORE","indval","pres/abs","prev_0","ABORE_vs_MBERE"
"Scarus ghobban",0.3,"OFFSHORE",1,10,"INSHORE_OFFSHORE","indval","pres/abs","prev_0","ABORE_vs_MBERE"
"Scarus psittacus",0.5,"OFFSHORE",1,16.667,"INSHORE_OFFSHORE","indval","pres/abs","prev_0","ABORE_vs_MBERE"
"Stethojulis interrupta",0.4,"OFFSHORE",1,13.333,"INSHORE_OFFSHORE","indval","pres/abs","prev_0","ABORE_vs_MBERE"
"Sufflamen chrysopterum",0.5,"OFFSHORE",1,16.667,"INSHORE_OFFSHORE","indval","pres/abs","prev_0","ABORE_vs_MBERE"
"Sufflamen fraenatum",0.3,"OFFSHORE",1,10,"INSHORE_OFFSHORE","indval","pres/abs","prev_0","ABORE_vs_MBERE"
"Synodus variegatus",0.6,"INSHORE",1,40,"INSHORE_OFFSHORE","indval","pres/abs","prev_0","ABORE_vs_MBERE"
"Thalassoma lunare",0.9,"OFFSHORE",1,30,"INSHORE_OFFSHORE","indval","pres/abs","prev_0","ABORE_vs_MBERE"
"Atule mate",0.8,"BAY",1,40,"BAR_BAY","indval","maxN","prev_0","ABORE_vs_MBERE"
"Chaetodon auriga",0.6,"BAR",1,30,"BAR_BAY","indval","maxN","prev_0","ABORE_vs_MBERE"
"Chaetodon kleinii",0.5,"BAR",1,25,"BAR_BAY","indval","maxN","prev_0","ABORE_vs_MBERE"
"Chromis viridis",0.5,"BAR",1,25,"BAR_BAY","indval","maxN","prev_0","ABORE_vs_MBERE"
"Dascyllus aruanus",0.6,"BAR",1,30,"BAR_BAY","indval","maxN","prev_0","ABORE_vs_MBERE"
"Halichoeres trimaculatus",0.864,"BAR",1,50,"BAR_BAY","indval","maxN","prev_0","ABORE_vs_MBERE"
"Lethrinus genivittatus",0.917,"BAY",1,55,"BAR_BAY","indval","maxN","prev_0","ABORE_vs_MBERE"
"Lethrinus obsoletus",0.7,"BAY",1,35,"BAR_BAY","indval","maxN","prev_0","ABORE_vs_MBERE"
"Lethrinus rubrioperculatus",0.9,"BAR",1,45,"BAR_BAY","indval","maxN","prev_0","ABORE_vs_MBERE"
"Lethrinus variegatus",0.6,"BAR",1,30,"BAR_BAY","indval","maxN","prev_0","ABORE_vs_MBERE"
"Nemipterus peronii",0.9,"BAY",1,45,"BAR_BAY","indval","maxN","prev_0","ABORE_vs_MBERE"
"Oxycheilinus bimaculatus",0.9,"BAR",1,45,"BAR_BAY","indval","maxN","prev_0","ABORE_vs_MBERE"
"Parapercis australis",0.9,"BAR",1,45,"BAR_BAY","indval","maxN","prev_0","ABORE_vs_MBERE"
"Parupeneus barberinoides",0.7,"BAR",1,35,"BAR_BAY","indval","maxN","prev_0","ABORE_vs_MBERE"
"Parupeneus multifasciatus",0.6,"BAR",1,30,"BAR_BAY","indval","maxN","prev_0","ABORE_vs_MBERE"
"Parupeneus pleurostigma",0.9,"BAR",1,45,"BAR_BAY","indval","maxN","prev_0","ABORE_vs_MBERE"
"Pentapodus nagasakiensis",0.7,"BAR",1,35,"BAR_BAY","indval","maxN","prev_0","ABORE_vs_MBERE"
"Pomacentrus coelestis",0.6,"BAR",1,30,"BAR_BAY","indval","maxN","prev_0","ABORE_vs_MBERE"
"Pseudobalistes fuscus",0.5,"BAR",1,25,"BAR_BAY","indval","maxN","prev_0","ABORE_vs_MBERE"
"Scarus psittacus",0.5,"BAR",1,25,"BAR_BAY","indval","maxN","prev_0","ABORE_vs_MBERE"
"Sufflamen chrysopterum",0.5,"BAR",1,25,"BAR_BAY","indval","maxN","prev_0","ABORE_vs_MBERE"
"Synodus variegatus",0.5,"BAY",1,25,"BAR_BAY","indval","maxN","prev_0","ABORE_vs_MBERE"
"Thalassoma lunare",0.9,"BAR",1,45,"BAR_BAY","indval","maxN","prev_0","ABORE_vs_MBERE"
"Chaetodon auriga",0.6,"BAR",1,30,"BAR_LAG","indval","maxN","prev_0","ABORE_vs_MBERE"
"Chaetodon kleinii",0.5,"BAR",1,25,"BAR_LAG","indval","maxN","prev_0","ABORE_vs_MBERE"
"Chromis viridis",0.5,"BAR",1,25,"BAR_LAG","indval","maxN","prev_0","ABORE_vs_MBERE"
"Dascyllus aruanus",0.6,"BAR",1,30,"BAR_LAG","indval","maxN","prev_0","ABORE_vs_MBERE"
"Decapterus macarellus",0.5,"LAG",1,25,"BAR_LAG","indval","maxN","prev_0","ABORE_vs_MBERE"
"Halichoeres trimaculatus",0.9,"BAR",1,45,"BAR_LAG","indval","maxN","prev_0","ABORE_vs_MBERE"
"Lethrinus genivittatus",0.967,"LAG",1,55,"BAR_LAG","indval","maxN","prev_0","ABORE_vs_MBERE"
"Lethrinus rubrioperculatus",0.881,"BAR",1,50,"BAR_LAG","indval","maxN","prev_0","ABORE_vs_MBERE"
"Lethrinus variegatus",0.6,"BAR",1,30,"BAR_LAG","indval","maxN","prev_0","ABORE_vs_MBERE"
"Nemipterus peronii",0.8,"LAG",1,40,"BAR_LAG","indval","maxN","prev_0","ABORE_vs_MBERE"
"Oxycheilinus bimaculatus",0.9,"BAR",1,45,"BAR_LAG","indval","maxN","prev_0","ABORE_vs_MBERE"
"Parapercis australis",0.9,"BAR",1,45,"BAR_LAG","indval","maxN","prev_0","ABORE_vs_MBERE"
"Parupeneus barberinoides",0.7,"BAR",1,35,"BAR_LAG","indval","maxN","prev_0","ABORE_vs_MBERE"
"Parupeneus multifasciatus",0.6,"BAR",1,30,"BAR_LAG","indval","maxN","prev_0","ABORE_vs_MBERE"
"Parupeneus pleurostigma",0.9,"BAR",1,45,"BAR_LAG","indval","maxN","prev_0","ABORE_vs_MBERE"
"Pomacentrus coelestis",0.6,"BAR",1,30,"BAR_LAG","indval","maxN","prev_0","ABORE_vs_MBERE"
"Pseudalutarius nasicornis",0.5,"LAG",1,25,"BAR_LAG","indval","maxN","prev_0","ABORE_vs_MBERE"
"Pseudobalistes fuscus",0.5,"BAR",1,25,"BAR_LAG","indval","maxN","prev_0","ABORE_vs_MBERE"
"Scarus psittacus",0.5,"BAR",1,25,"BAR_LAG","indval","maxN","prev_0","ABORE_vs_MBERE"
"Sufflamen chrysopterum",0.5,"BAR",1,25,"BAR_LAG","indval","maxN","prev_0","ABORE_vs_MBERE"
"Synodus variegatus",0.7,"LAG",1,35,"BAR_LAG","indval","maxN","prev_0","ABORE_vs_MBERE"
"Thalassoma lunare",0.9,"BAR",1,45,"BAR_LAG","indval","maxN","prev_0","ABORE_vs_MBERE"
"Atule mate",0.698,"BAY",1,55,"BAY_LAG","indval","maxN","prev_0","ABORE_vs_MBERE"
"Lethrinus genivittatus",0.725,"LAG",1,100,"BAY_LAG","indval","maxN","prev_0","ABORE_vs_MBERE"
"Pentapodus nagasakiensis",0.5,"LAG",1,25,"BAY_LAG","indval","maxN","prev_0","ABORE_vs_MBERE"
"Pseudalutarius nasicornis",0.5,"LAG",1,25,"BAY_LAG","indval","maxN","prev_0","ABORE_vs_MBERE"
"Acanthurus blochii",0.3,"OFFSHORE",1,10,"INSHORE_OFFSHORE","indval","maxN","prev_0","ABORE_vs_MBERE"
"Atule mate",0.55,"INSHORE",1,36.667,"INSHORE_OFFSHORE","indval","maxN","prev_0","ABORE_vs_MBERE"
"Canthigaster valentini",0.3,"OFFSHORE",1,10,"INSHORE_OFFSHORE","indval","maxN","prev_0","ABORE_vs_MBERE"
"Centropyge tibicen",0.4,"OFFSHORE",1,13.333,"INSHORE_OFFSHORE","indval","maxN","prev_0","ABORE_vs_MBERE"
"Chaetodon auriga",0.6,"OFFSHORE",1,20,"INSHORE_OFFSHORE","indval","maxN","prev_0","ABORE_vs_MBERE"
"Chaetodon kleinii",0.5,"OFFSHORE",1,16.667,"INSHORE_OFFSHORE","indval","maxN","prev_0","ABORE_vs_MBERE"
"Chaetodon mertensii",0.3,"OFFSHORE",1,10,"INSHORE_OFFSHORE","indval","maxN","prev_0","ABORE_vs_MBERE"
"Chromis viridis",0.5,"OFFSHORE",1,16.667,"INSHORE_OFFSHORE","indval","maxN","prev_0","ABORE_vs_MBERE"
"Dascyllus aruanus",0.6,"OFFSHORE",1,20,"INSHORE_OFFSHORE","indval","maxN","prev_0","ABORE_vs_MBERE"
"Decapterus macarellus",0.4,"INSHORE",1,26.667,"INSHORE_OFFSHORE","indval","maxN","prev_0","ABORE_vs_MBERE"
"Gymnocranius grandoculis",0.3,"OFFSHORE",1,10,"INSHORE_OFFSHORE","indval","maxN","prev_0","ABORE_vs_MBERE"
"Halichoeres trimaculatus",0.882,"OFFSHORE",1,33.333,"INSHORE_OFFSHORE","indval","maxN","prev_0","ABORE_vs_MBERE"
"Labroides dimidiatus",0.3,"OFFSHORE",1,10,"INSHORE_OFFSHORE","indval","maxN","prev_0","ABORE_vs_MBERE"
"Lethrinus genivittatus",0.952,"INSHORE",1,70,"INSHORE_OFFSHORE","indval","maxN","prev_0","ABORE_vs_MBERE"
"Lethrinus obsoletus",0.5,"INSHORE",1,33.333,"INSHORE_OFFSHORE","indval","maxN","prev_0","ABORE_vs_MBERE"
"Lethrinus rubrioperculatus",0.89,"OFFSHORE",1,33.333,"INSHORE_OFFSHORE","indval","maxN","prev_0","ABORE_vs_MBERE"
"Lethrinus variegatus",0.6,"OFFSHORE",1,20,"INSHORE_OFFSHORE","indval","maxN","prev_0","ABORE_vs_MBERE"
"Nemipterus peronii",0.85,"INSHORE",1,56.667,"INSHORE_OFFSHORE","indval","maxN","prev_0","ABORE_vs_MBERE"
"Oxycheilinus bimaculatus",0.9,"OFFSHORE",1,30,"INSHORE_OFFSHORE","indval","maxN","prev_0","ABORE_vs_MBERE"
"Oxycheilinus nigromarginatus",0.3,"OFFSHORE",1,10,"INSHORE_OFFSHORE","indval","maxN","prev_0","ABORE_vs_MBERE"
"Parapercis australis",0.9,"OFFSHORE",1,30,"INSHORE_OFFSHORE","indval","maxN","prev_0","ABORE_vs_MBERE"
"Parupeneus barberinoides",0.7,"OFFSHORE",1,23.333,"INSHORE_OFFSHORE","indval","maxN","prev_0","ABORE_vs_MBERE"
"Parupeneus multifasciatus",0.6,"OFFSHORE",1,20,"INSHORE_OFFSHORE","indval","maxN","prev_0","ABORE_vs_MBERE"
"Parupeneus pleurostigma",0.9,"OFFSHORE",1,30,"INSHORE_OFFSHORE","indval","maxN","prev_0","ABORE_vs_MBERE"
"Pentapodus nagasakiensis",0.632,"OFFSHORE",1,40,"INSHORE_OFFSHORE","indval","maxN","prev_0","ABORE_vs_MBERE"
"Plagiotremus tapeinosoma",0.4,"OFFSHORE",1,13.333,"INSHORE_OFFSHORE","indval","maxN","prev_0","ABORE_vs_MBERE"
"Pomacentrus coelestis",0.6,"OFFSHORE",1,20,"INSHORE_OFFSHORE","indval","maxN","prev_0","ABORE_vs_MBERE"
"Pomacentrus moluccensis",0.3,"OFFSHORE",1,10,"INSHORE_OFFSHORE","indval","maxN","prev_0","ABORE_vs_MBERE"
"Pseudobalistes fuscus",0.5,"OFFSHORE",1,16.667,"INSHORE_OFFSHORE","indval","maxN","prev_0","ABORE_vs_MBERE"
"Scarus ghobban",0.3,"OFFSHORE",1,10,"INSHORE_OFFSHORE","indval","maxN","prev_0","ABORE_vs_MBERE"
"Scarus psittacus",0.5,"OFFSHORE",1,16.667,"INSHORE_OFFSHORE","indval","maxN","prev_0","ABORE_vs_MBERE"
"Stethojulis interrupta",0.4,"OFFSHORE",1,13.333,"INSHORE_OFFSHORE","indval","maxN","prev_0","ABORE_vs_MBERE"
"Sufflamen chrysopterum",0.5,"OFFSHORE",1,16.667,"INSHORE_OFFSHORE","indval","maxN","prev_0","ABORE_vs_MBERE"
"Sufflamen fraenatum",0.3,"OFFSHORE",1,10,"INSHORE_OFFSHORE","indval","maxN","prev_0","ABORE_vs_MBERE"
"Synodus variegatus",0.6,"INSHORE",1,40,"INSHORE_OFFSHORE","indval","maxN","prev_0","ABORE_vs_MBERE"
"Thalassoma lunare",0.9,"OFFSHORE",1,30,"INSHORE_OFFSHORE","indval","maxN","prev_0","ABORE_vs_MBERE"
"Lethrinus genivittatus",18.5,"BAY",1,55,"BAR_BAY","bininter","pres/abs","prev_0","ABORE_vs_MBERE"
"Nemipterus peronii",21,"BAY",1,45,"BAR_BAY","bininter","pres/abs","prev_0","ABORE_vs_MBERE"
"Halichoeres trimaculatus",15,"BAR",1,45,"BAR_LAG","bininter","pres/abs","prev_0","ABORE_vs_MBERE"
"Lethrinus genivittatus",13.25,"LAG",1,55,"BAR_LAG","bininter","pres/abs","prev_0","ABORE_vs_MBERE"
"Lethrinus rubrioperculatus",15,"BAR",1,50,"BAR_LAG","bininter","pres/abs","prev_0","ABORE_vs_MBERE"
"Nemipterus peronii",15,"LAG",1,40,"BAR_LAG","bininter","pres/abs","prev_0","ABORE_vs_MBERE"
"Oxycheilinus bimaculatus",15,"BAR",1,45,"BAR_LAG","bininter","pres/abs","prev_0","ABORE_vs_MBERE"
"Parapercis australis",15,"BAR",1,45,"BAR_LAG","bininter","pres/abs","prev_0","ABORE_vs_MBERE"
"Parupeneus pleurostigma",15,"BAR",1,45,"BAR_LAG","bininter","pres/abs","prev_0","ABORE_vs_MBERE"
"Arothron stellatus",0,"LAG",1,15,"BAY_LAG","bininter","pres/abs","prev_0","ABORE_vs_MBERE"
"Nemipterus peronii",-5.25,"BAY",1,85,"BAY_LAG","bininter","pres/abs","prev_0","ABORE_vs_MBERE"
"Pentapodus nagasakiensis",5.25,"LAG",1,25,"BAY_LAG","bininter","pres/abs","prev_0","ABORE_vs_MBERE"
"Pseudalutarius nasicornis",19,"LAG",1,25,"BAY_LAG","bininter","pres/abs","prev_0","ABORE_vs_MBERE"
"Synodus variegatus",1.5,"LAG",1,60,"BAY_LAG","bininter","pres/abs","prev_0","ABORE_vs_MBERE"
"Atule mate",6.667,"INSHORE",1,36.6666666666667,"INSHORE_OFFSHORE","bininter","pres/abs","prev_0","ABORE_vs_MBERE"
"Decapterus macarellus",6.333,"INSHORE",1,26.6666666666667,"INSHORE_OFFSHORE","bininter","pres/abs","prev_0","ABORE_vs_MBERE"
"Halichoeres trimaculatus",17.267,"OFFSHORE",1,33.3333333333333,"INSHORE_OFFSHORE","bininter","pres/abs","prev_0","ABORE_vs_MBERE"
"Lethrinus genivittatus",17,"INSHORE",1,70,"INSHORE_OFFSHORE","bininter","pres/abs","prev_0","ABORE_vs_MBERE"
"Lethrinus obsoletus",6,"INSHORE",1,33.3333333333333,"INSHORE_OFFSHORE","bininter","pres/abs","prev_0","ABORE_vs_MBERE"
"Lethrinus rubrioperculatus",19.25,"OFFSHORE",1,33.3333333333333,"INSHORE_OFFSHORE","bininter","pres/abs","prev_0","ABORE_vs_MBERE"
"Nemipterus peronii",11.333,"INSHORE",1,56.6666666666667,"INSHORE_OFFSHORE","bininter","pres/abs","prev_0","ABORE_vs_MBERE"
"Oxycheilinus bimaculatus",19,"OFFSHORE",1,30,"INSHORE_OFFSHORE","bininter","pres/abs","prev_0","ABORE_vs_MBERE"
"Parapercis australis",19,"OFFSHORE",1,30,"INSHORE_OFFSHORE","bininter","pres/abs","prev_0","ABORE_vs_MBERE"
"Parupeneus pleurostigma",19,"OFFSHORE",1,30,"INSHORE_OFFSHORE","bininter","pres/abs","prev_0","ABORE_vs_MBERE"
"Synodus variegatus",7.667,"INSHORE",1,40,"INSHORE_OFFSHORE","bininter","pres/abs","prev_0","ABORE_vs_MBERE"
"Abalistes stellatus",3,"BAR",1,10,"BAR_BAY","bininter","maxN","prev_0","ABORE_vs_MBERE"
"Atule mate",6,"BAY",1,40,"BAR_BAY","bininter","maxN","prev_0","ABORE_vs_MBERE"
"Carangoides dinema",0,"BAY",1,5,"BAR_BAY","bininter","maxN","prev_0","ABORE_vs_MBERE"
"Decapterus macarellus",17,"BAY",1,15,"BAR_BAY","bininter","maxN","prev_0","ABORE_vs_MBERE"
"Echeneis naucrates",0,"BAY",1,5,"BAR_BAY","bininter","maxN","prev_0","ABORE_vs_MBERE"
"Elops hawaiensis",0,"BAY",1,5,"BAR_BAY","bininter","maxN","prev_0","ABORE_vs_MBERE"
"Halichoeres trimaculatus",13.826,"BAR",1,50,"BAR_BAY","bininter","maxN","prev_0","ABORE_vs_MBERE"
"Lethrinus rubrioperculatus",10.5,"BAR",1,45,"BAR_BAY","bininter","maxN","prev_0","ABORE_vs_MBERE"
"Lutjanus vitta",2,"BAR",1,15,"BAR_BAY","bininter","maxN","prev_0","ABORE_vs_MBERE"
"Oxycheilinus bimaculatus",11,"BAR",1,45,"BAR_BAY","bininter","maxN","prev_0","ABORE_vs_MBERE"
"Parapercis australis",11,"BAR",1,45,"BAR_BAY","bininter","maxN","prev_0","ABORE_vs_MBERE"
"Parapercis xanthozona",0,"BAY",1,5,"BAR_BAY","bininter","maxN","prev_0","ABORE_vs_MBERE"
"Parupeneus pleurostigma",31.167,"BAR",1,45,"BAR_BAY","bininter","maxN","prev_0","ABORE_vs_MBERE"
"Scomberomorus commerson",5.5,"BAR",1,15,"BAR_BAY","bininter","maxN","prev_0","ABORE_vs_MBERE"
"Thalassoma lunare",20.5,"BAR",1,45,"BAR_BAY","bininter","maxN","prev_0","ABORE_vs_MBERE"
"Upeneus sundaicus",5,"BAR",1,15,"BAR_BAY","bininter","maxN","prev_0","ABORE_vs_MBERE"
"Upeneus vittatus",0,"BAY",1,5,"BAR_BAY","bininter","maxN","prev_0","ABORE_vs_MBERE"
"Lethrinus genivittatus",18.054,"LAG",1,55,"BAR_LAG","bininter","maxN","prev_0","ABORE_vs_MBERE"
"Nemipterus peronii",18.5,"LAG",1,40,"BAR_LAG","bininter","maxN","prev_0","ABORE_vs_MBERE"
