"feature","featureImportance","class","IsIndSp","prevalence","comparison","source","data","seed","prev_rate"
"Cheilio inermis",0.062,"BAR",0,3.125,"BAR_BAY","indval","pres/abs","seed_01","prev_0"
"Choerodon graphicus",0.062,"BAR",0,3.125,"BAR_BAY","indval","pres/abs","seed_01","prev_0"
"Chromis fumea",0.062,"BAR",0,3.125,"BAR_BAY","indval","pres/abs","seed_01","prev_0"
"Chromis viridis",0.125,"BAR",0,6.25,"BAR_BAY","indval","pres/abs","seed_01","prev_0"
"Coris batuensis",0.062,"BAR",0,3.125,"BAR_BAY","indval","pres/abs","seed_01","prev_0"
"Coris dorsomacula",0.25,"BAR",0,12.5,"BAR_BAY","indval","pres/abs","seed_01","prev_0"
"Ctenochaetus striatus",0.125,"BAR",0,6.25,"BAR_BAY","indval","pres/abs","seed_01","prev_0"
"Dascyllus aruanus",0.25,"BAR",0,12.5,"BAR_BAY","indval","pres/abs","seed_01","prev_0"
"Dasyatis kuhlii",0.062,"BAR",0,3.125,"BAR_BAY","indval","pres/abs","seed_01","prev_0"
"Decapterus macarellus",0.125,"BAY",0,6.25,"BAR_BAY","indval","pres/abs","seed_01","prev_0"
"Diagramma pictum",0.083,"BAR",0,9.375,"BAR_BAY","indval","pres/abs","seed_01","prev_0"
"Echeneis naucrates",0.223,"BAY",0,21.875,"BAR_BAY","indval","pres/abs","seed_01","prev_0"
"Elops hawaiensis",0.062,"BAY",0,3.125,"BAR_BAY","indval","pres/abs","seed_01","prev_0"
"Epinephelus areolatus",0.125,"BAY",0,6.25,"BAR_BAY","indval","pres/abs","seed_01","prev_0"
"Epinephelus howlandi",0.062,"BAR",0,3.125,"BAR_BAY","indval","pres/abs","seed_01","prev_0"
"Epinephelus maculatus",0.188,"BAR",0,9.375,"BAR_BAY","indval","pres/abs","seed_01","prev_0"
"Epinephelus merra",0.062,"BAR",0,3.125,"BAR_BAY","indval","pres/abs","seed_01","prev_0"
"Gnathanodon speciosus",0.125,"BAY",0,6.25,"BAR_BAY","indval","pres/abs","seed_01","prev_0"
"Gymnocranius grandoculis",0.125,"BAR",0,6.25,"BAR_BAY","indval","pres/abs","seed_01","prev_0"
"Halichoeres chrysus",0.062,"BAR",0,3.125,"BAR_BAY","indval","pres/abs","seed_01","prev_0"
"Halichoeres trimaculatus",0.754,"BAR",1,43.75,"BAR_BAY","indval","pres/abs","seed_01","prev_0"
"Hemigymnus melapterus",0.062,"BAR",0,3.125,"BAR_BAY","indval","pres/abs","seed_01","prev_0"
"Heniochus acuminatus",0.062,"BAR",0,3.125,"BAR_BAY","indval","pres/abs","seed_01","prev_0"
"Labroides dimidiatus",0.125,"BAR",0,6.25,"BAR_BAY","indval","pres/abs","seed_01","prev_0"
"Lagocephalus sceleratus",0.25,"BAY",0,28.125,"BAR_BAY","indval","pres/abs","seed_01","prev_0"
"Leiognathus fasciatus",0.188,"BAY",0,9.375,"BAR_BAY","indval","pres/abs","seed_01","prev_0"
"Lethrinus atkinsoni",0.125,"BAR",0,6.25,"BAR_BAY","indval","pres/abs","seed_01","prev_0"
"Lethrinus genivittatus",0.391,"BAY",0,50,"BAR_BAY","indval","pres/abs","seed_01","prev_0"
"Lethrinus obsoletus",0.625,"BAY",1,31.25,"BAR_BAY","indval","pres/abs","seed_01","prev_0"
"Lethrinus rubrioperculatus",0.75,"BAR",1,37.5,"BAR_BAY","indval","pres/abs","seed_01","prev_0"
"Lethrinus variegatus",0.75,"BAR",1,37.5,"BAR_BAY","indval","pres/abs","seed_01","prev_0"
"Lutjanus gibbus",0.062,"BAR",0,3.125,"BAR_BAY","indval","pres/abs","seed_01","prev_0"
"Lutjanus lutjanus",0.062,"BAY",0,3.125,"BAR_BAY","indval","pres/abs","seed_01","prev_0"
"Lutjanus vitta",0.112,"BAY",0,15.625,"BAR_BAY","indval","pres/abs","seed_01","prev_0"
"Macropharyngodon negrosensis",0.062,"BAR",0,3.125,"BAR_BAY","indval","pres/abs","seed_01","prev_0"
"Mulloidichthys flavolineatus",0.312,"BAR",1,15.625,"BAR_BAY","indval","pres/abs","seed_01","prev_0"
"Naso annulatus",0.062,"BAR",0,3.125,"BAR_BAY","indval","pres/abs","seed_01","prev_0"
"Naso brevirostris",0.062,"BAR",0,3.125,"BAR_BAY","indval","pres/abs","seed_01","prev_0"
"Nebrius ferrugineus",0.062,"BAR",0,3.125,"BAR_BAY","indval","pres/abs","seed_01","prev_0"
"Nemipterus peronii",0.812,"BAY",1,40.625,"BAR_BAY","indval","pres/abs","seed_01","prev_0"
"Oxycheilinus bimaculatus",0.688,"BAR",1,34.375,"BAR_BAY","indval","pres/abs","seed_01","prev_0"
"Oxycheilinus nigromarginatus",0.125,"BAR",0,6.25,"BAR_BAY","indval","pres/abs","seed_01","prev_0"
"Oxycheilinus unifasciatus",0.062,"BAR",0,3.125,"BAR_BAY","indval","pres/abs","seed_01","prev_0"
"Parapercis australis",0.625,"BAR",1,31.25,"BAR_BAY","indval","pres/abs","seed_01","prev_0"
"Parapercis clathrata",0.125,"BAY",0,6.25,"BAR_BAY","indval","pres/abs","seed_01","prev_0"
"Parapercis hexophtalma",0.125,"BAR",0,6.25,"BAR_BAY","indval","pres/abs","seed_01","prev_0"
"Parapercis xanthozona",0.062,"BAY",0,3.125,"BAR_BAY","indval","pres/abs","seed_01","prev_0"
"Parupeneus barberinoides",0.625,"BAR",1,31.25,"BAR_BAY","indval","pres/abs","seed_01","prev_0"
"Parupeneus barberinus",0.125,"BAR",0,6.25,"BAR_BAY","indval","pres/abs","seed_01","prev_0"
"Parupeneus cyclostomus",0.125,"BAR",0,6.25,"BAR_BAY","indval","pres/abs","seed_01","prev_0"
"Parupeneus heptacanthus",0.112,"BAR",0,15.625,"BAR_BAY","indval","pres/abs","seed_01","prev_0"
"Parupeneus multifasciatus",0.438,"BAR",1,21.875,"BAR_BAY","indval","pres/abs","seed_01","prev_0"
"Parupeneus pleurostigma",0.812,"BAR",1,40.625,"BAR_BAY","indval","pres/abs","seed_01","prev_0"
"Pentapodus caninus",0.031,"BAR",0,6.25,"BAR_BAY","indval","pres/abs","seed_01","prev_0"
"Pentapodus nagasakiensis",0.75,"BAR",1,37.5,"BAR_BAY","indval","pres/abs","seed_01","prev_0"
"Plagiotremus rhinorhynchos",0.062,"BAR",0,3.125,"BAR_BAY","indval","pres/abs","seed_01","prev_0"
"Plagiotremus tapeinosoma",0.125,"BAR",0,6.25,"BAR_BAY","indval","pres/abs","seed_01","prev_0"
"Plectropomus leopardus",0.188,"BAR",0,9.375,"BAR_BAY","indval","pres/abs","seed_01","prev_0"
"Pomacanthus imperator",0.062,"BAR",0,3.125,"BAR_BAY","indval","pres/abs","seed_01","prev_0"
"Pomacentrus coelestis",0.312,"BAR",1,15.625,"BAR_BAY","indval","pres/abs","seed_01","prev_0"
"Pomacentrus moluccensis",0.188,"BAR",0,9.375,"BAR_BAY","indval","pres/abs","seed_01","prev_0"
"Pomacentrus nagasakiensis",0.062,"BAR",0,3.125,"BAR_BAY","indval","pres/abs","seed_01","prev_0"
"Pristotis obtusirostris",0.188,"BAR",0,9.375,"BAR_BAY","indval","pres/abs","seed_01","prev_0"
"Pseudalutarius nasicornis",0.062,"BAR",0,3.125,"BAR_BAY","indval","pres/abs","seed_01","prev_0"
"Pseudanthias hypselosoma",0.062,"BAR",0,3.125,"BAR_BAY","indval","pres/abs","seed_01","prev_0"
"Pseudobalistes flavimarginatus",0.062,"BAR",0,3.125,"BAR_BAY","indval","pres/abs","seed_01","prev_0"
"Pseudobalistes fuscus",0.312,"BAR",1,15.625,"BAR_BAY","indval","pres/abs","seed_01","prev_0"
"Pseudocaranx dentex",0.062,"BAY",0,3.125,"BAR_BAY","indval","pres/abs","seed_01","prev_0"
"Ptereleotris microlepis",0.25,"BAR",0,12.5,"BAR_BAY","indval","pres/abs","seed_01","prev_0"
"Pterocaesio marri",0.062,"BAR",0,3.125,"BAR_BAY","indval","pres/abs","seed_01","prev_0"
"Rhinecanthus aculeatus",0.062,"BAR",0,3.125,"BAR_BAY","indval","pres/abs","seed_01","prev_0"
"Rhynchobatus Djiddensis",0.062,"BAY",0,3.125,"BAR_BAY","indval","pres/abs","seed_01","prev_0"
"Scarus ghobban",0.25,"BAR",0,12.5,"BAR_BAY","indval","pres/abs","seed_01","prev_0"
"Scarus longipinnis",0.062,"BAR",0,3.125,"BAR_BAY","indval","pres/abs","seed_01","prev_0"
"Scarus psittacus",0.188,"BAR",0,9.375,"BAR_BAY","indval","pres/abs","seed_01","prev_0"
"Scarus schlegeli",0.125,"BAR",0,6.25,"BAR_BAY","indval","pres/abs","seed_01","prev_0"
"Scomberoides tol",0.062,"BAR",0,3.125,"BAR_BAY","indval","pres/abs","seed_01","prev_0"
"Scomberomorus commerson",0.083,"BAR",0,9.375,"BAR_BAY","indval","pres/abs","seed_01","prev_0"
"Siganus doliatus",0.062,"BAR",0,3.125,"BAR_BAY","indval","pres/abs","seed_01","prev_0"
"Siganus punctatus",0.062,"BAR",0,3.125,"BAR_BAY","indval","pres/abs","seed_01","prev_0"
"Stethojulis bandanensis",0.062,"BAR",0,3.125,"BAR_BAY","indval","pres/abs","seed_01","prev_0"
"Stethojulis interrupta",0.375,"BAR",1,18.75,"BAR_BAY","indval","pres/abs","seed_01","prev_0"
"Stethojulis strigiventer",0.188,"BAR",0,9.375,"BAR_BAY","indval","pres/abs","seed_01","prev_0"
"Sufflamen chrysopterum",0.188,"BAR",0,9.375,"BAR_BAY","indval","pres/abs","seed_01","prev_0"
"Sufflamen fraenatum",0.188,"BAR",0,9.375,"BAR_BAY","indval","pres/abs","seed_01","prev_0"
"Synodus variegatus",0.25,"BAY",0,12.5,"BAR_BAY","indval","pres/abs","seed_01","prev_0"
"Taeniura meyeni",0.062,"BAR",0,3.125,"BAR_BAY","indval","pres/abs","seed_01","prev_0"
"Thalassoma lunare",0.63,"BAR",1,37.5,"BAR_BAY","indval","pres/abs","seed_01","prev_0"
"Upeneus sundaicus",0.26,"BAR",0,18.75,"BAR_BAY","indval","pres/abs","seed_01","prev_0"
"Upeneus tragula",0.062,"BAY",0,3.125,"BAR_BAY","indval","pres/abs","seed_01","prev_0"
"Valenciennea decora",0.062,"BAR",0,3.125,"BAR_BAY","indval","pres/abs","seed_01","prev_0"
"Valenciennea puellaris",0.062,"BAR",0,3.125,"BAR_BAY","indval","pres/abs","seed_01","prev_0"
"Vanderhorstia ambanoro",0.062,"BAY",0,3.125,"BAR_BAY","indval","pres/abs","seed_01","prev_0"
"Zebrasoma velifer",0.062,"BAR",0,3.125,"BAR_BAY","indval","pres/abs","seed_01","prev_0"
"Abalistes stellatus",0.143,"LAG",0,21.875,"BAR_LAG","indval","pres/abs","seed_01","prev_0"
"Acanthurus blochii",0.125,"BAR",0,6.25,"BAR_LAG","indval","pres/abs","seed_01","prev_0"
"Acanthurus mata",0.062,"BAR",0,3.125,"BAR_LAG","indval","pres/abs","seed_01","prev_0"
"Acanthurus nigricauda",0.062,"BAR",0,3.125,"BAR_LAG","indval","pres/abs","seed_01","prev_0"
"Acanthurus olivaceus",0.062,"BAR",0,3.125,"BAR_LAG","indval","pres/abs","seed_01","prev_0"
"Acanthurus xanthopterus",0.188,"BAR",0,9.375,"BAR_LAG","indval","pres/abs","seed_01","prev_0"
"Acreichthys tomentosus",0.062,"LAG",0,3.125,"BAR_LAG","indval","pres/abs","seed_01","prev_0"
"Aetobatus narinari",0.062,"LAG",0,3.125,"BAR_LAG","indval","pres/abs","seed_01","prev_0"
"Amblyeleotris steinitzi",0.062,"BAR",0,3.125,"BAR_LAG","indval","pres/abs","seed_01","prev_0"
"Amblygobius phalaena",0.25,"BAR",0,12.5,"BAR_LAG","indval","pres/abs","seed_01","prev_0"
"Amblygobius sphynx",0.125,"LAG",0,6.25,"BAR_LAG","indval","pres/abs","seed_01","prev_0"
"Aprion virescens",0.031,"BAR",0,6.25,"BAR_LAG","indval","pres/abs","seed_01","prev_0"
"Arothron stellatus",0.25,"LAG",0,12.5,"BAR_LAG","indval","pres/abs","seed_01","prev_0"
"Atule mate",0.312,"LAG",1,15.625,"BAR_LAG","indval","pres/abs","seed_01","prev_0"
"Balistoides viridescens",0.062,"BAR",0,3.125,"BAR_LAG","indval","pres/abs","seed_01","prev_0"
"Bodianus loxozonus",0.062,"BAR",0,3.125,"BAR_LAG","indval","pres/abs","seed_01","prev_0"
"Bodianus perditio",0.125,"BAR",0,6.25,"BAR_LAG","indval","pres/abs","seed_01","prev_0"
"Canthigaster valentini",0.125,"BAR",0,6.25,"BAR_LAG","indval","pres/abs","seed_01","prev_0"
"Carangoides dinema",0.125,"LAG",0,6.25,"BAR_LAG","indval","pres/abs","seed_01","prev_0"
"Carangoides fulvoguttatus",0.062,"BAR",0,3.125,"BAR_LAG","indval","pres/abs","seed_01","prev_0"
"Caranx ignobilis",0.062,"BAR",0,3.125,"BAR_LAG","indval","pres/abs","seed_01","prev_0"
"Carcharhinus leucas",0.062,"LAG",0,3.125,"BAR_LAG","indval","pres/abs","seed_01","prev_0"
"Centropyge tibicen",0.062,"BAR",0,3.125,"BAR_LAG","indval","pres/abs","seed_01","prev_0"
"Chaetodon auriga",0.25,"BAR",0,12.5,"BAR_LAG","indval","pres/abs","seed_01","prev_0"
"Chaetodon ephippium",0.062,"BAR",0,3.125,"BAR_LAG","indval","pres/abs","seed_01","prev_0"
"Chaetodon kleinii",0.188,"BAR",0,9.375,"BAR_LAG","indval","pres/abs","seed_01","prev_0"
"Chaetodon melannotus",0.062,"BAR",0,3.125,"BAR_LAG","indval","pres/abs","seed_01","prev_0"
"Chaetodon mertensii",0.062,"BAR",0,3.125,"BAR_LAG","indval","pres/abs","seed_01","prev_0"
"Cheilinus chlorourus",0.062,"BAR",0,3.125,"BAR_LAG","indval","pres/abs","seed_01","prev_0"
"Cheilio inermis",0.062,"BAR",0,3.125,"BAR_LAG","indval","pres/abs","seed_01","prev_0"
"Choerodon graphicus",0.062,"BAR",0,3.125,"BAR_LAG","indval","pres/abs","seed_01","prev_0"
"Chromis fumea",0.062,"BAR",0,3.125,"BAR_LAG","indval","pres/abs","seed_01","prev_0"
"Chromis viridis",0.125,"BAR",0,6.25,"BAR_LAG","indval","pres/abs","seed_01","prev_0"
"Coris batuensis",0.062,"BAR",0,3.125,"BAR_LAG","indval","pres/abs","seed_01","prev_0"
"Coris caudimacula",0.125,"LAG",0,6.25,"BAR_LAG","indval","pres/abs","seed_01","prev_0"
"Coris dorsomacula",0.2,"BAR",0,15.625,"BAR_LAG","indval","pres/abs","seed_01","prev_0"
"Ctenochaetus striatus",0.125,"BAR",0,6.25,"BAR_LAG","indval","pres/abs","seed_01","prev_0"
"Dascyllus aruanus",0.25,"BAR",0,12.5,"BAR_LAG","indval","pres/abs","seed_01","prev_0"
"Dasyatis kuhlii",0.062,"BAR",0,3.125,"BAR_LAG","indval","pres/abs","seed_01","prev_0"
"Decapterus macarellus",0.312,"LAG",1,15.625,"BAR_LAG","indval","pres/abs","seed_01","prev_0"
"Diagramma pictum",0.083,"BAR",0,9.375,"BAR_LAG","indval","pres/abs","seed_01","prev_0"
"Echeneis naucrates",0.112,"LAG",0,15.625,"BAR_LAG","indval","pres/abs","seed_01","prev_0"
"Epinephelus howlandi",0.062,"BAR",0,3.125,"BAR_LAG","indval","pres/abs","seed_01","prev_0"
"Epinephelus maculatus",0.188,"BAR",0,9.375,"BAR_LAG","indval","pres/abs","seed_01","prev_0"
"Epinephelus malabaricus",0.062,"LAG",0,3.125,"BAR_LAG","indval","pres/abs","seed_01","prev_0"
"Epinephelus merra",0.062,"BAR",0,3.125,"BAR_LAG","indval","pres/abs","seed_01","prev_0"
"Galeocerdo cuvier",0.062,"LAG",0,3.125,"BAR_LAG","indval","pres/abs","seed_01","prev_0"
"Gymnocranius grandoculis",0.125,"BAR",0,6.25,"BAR_LAG","indval","pres/abs","seed_01","prev_0"
"Halichoeres chrysus",0.062,"BAR",0,3.125,"BAR_LAG","indval","pres/abs","seed_01","prev_0"
"Halichoeres trimaculatus",0.812,"BAR",1,40.625,"BAR_LAG","indval","pres/abs","seed_01","prev_0"
"Hemigymnus melapterus",0.062,"BAR",0,3.125,"BAR_LAG","indval","pres/abs","seed_01","prev_0"
"Heniochus acuminatus",0.062,"BAR",0,3.125,"BAR_LAG","indval","pres/abs","seed_01","prev_0"
"Himantura fai",0.062,"LAG",0,3.125,"BAR_LAG","indval","pres/abs","seed_01","prev_0"
"Labroides dimidiatus",0.125,"BAR",0,6.25,"BAR_LAG","indval","pres/abs","seed_01","prev_0"
"Lagocephalus sceleratus",0.143,"LAG",0,21.875,"BAR_LAG","indval","pres/abs","seed_01","prev_0"
"Lethrinus atkinsoni",0.125,"BAR",0,6.25,"BAR_LAG","indval","pres/abs","seed_01","prev_0"
"Lethrinus genivittatus",0.556,"LAG",1,59.375,"BAR_LAG","indval","pres/abs","seed_01","prev_0"
"Lethrinus obsoletus",0.125,"LAG",0,6.25,"BAR_LAG","indval","pres/abs","seed_01","prev_0"
"Lethrinus rubrioperculatus",0.692,"BAR",1,40.625,"BAR_LAG","indval","pres/abs","seed_01","prev_0"
"Lethrinus variegatus",0.75,"BAR",1,37.5,"BAR_LAG","indval","pres/abs","seed_01","prev_0"
"Lutjanus gibbus",0.062,"BAR",0,3.125,"BAR_LAG","indval","pres/abs","seed_01","prev_0"
"Lutjanus vitta",0.125,"BAR",0,6.25,"BAR_LAG","indval","pres/abs","seed_01","prev_0"
"Macropharyngodon negrosensis",0.062,"BAR",0,3.125,"BAR_LAG","indval","pres/abs","seed_01","prev_0"
"Mulloidichthys flavolineatus",0.312,"BAR",1,15.625,"BAR_LAG","indval","pres/abs","seed_01","prev_0"
"Naso annulatus",0.062,"BAR",0,3.125,"BAR_LAG","indval","pres/abs","seed_01","prev_0"
"Naso brevirostris",0.062,"BAR",0,3.125,"BAR_LAG","indval","pres/abs","seed_01","prev_0"
"Nebrius ferrugineus",0.062,"BAR",0,3.125,"BAR_LAG","indval","pres/abs","seed_01","prev_0"
"Nemipterus peronii",0.875,"LAG",1,43.75,"BAR_LAG","indval","pres/abs","seed_01","prev_0"
"Oplopomus oplopomus",0.125,"LAG",0,6.25,"BAR_LAG","indval","pres/abs","seed_01","prev_0"
"Oxycheilinus bimaculatus",0.63,"BAR",1,37.5,"BAR_LAG","indval","pres/abs","seed_01","prev_0"
"Oxycheilinus nigromarginatus",0.125,"BAR",0,6.25,"BAR_LAG","indval","pres/abs","seed_01","prev_0"
"Oxycheilinus unifasciatus",0.062,"BAR",0,3.125,"BAR_LAG","indval","pres/abs","seed_01","prev_0"
"Parapercis australis",0.625,"BAR",1,31.25,"BAR_LAG","indval","pres/abs","seed_01","prev_0"
"Parapercis hexophtalma",0.125,"BAR",0,6.25,"BAR_LAG","indval","pres/abs","seed_01","prev_0"
"Parupeneus barberinoides",0.625,"BAR",1,31.25,"BAR_LAG","indval","pres/abs","seed_01","prev_0"
"Parupeneus barberinus",0.125,"BAR",0,6.25,"BAR_LAG","indval","pres/abs","seed_01","prev_0"
"Parupeneus cyclostomus",0.125,"BAR",0,6.25,"BAR_LAG","indval","pres/abs","seed_01","prev_0"
"Parupeneus heptacanthus",0.112,"BAR",0,15.625,"BAR_LAG","indval","pres/abs","seed_01","prev_0"
"Parupeneus multifasciatus",0.438,"BAR",1,21.875,"BAR_LAG","indval","pres/abs","seed_01","prev_0"
"Parupeneus pleurostigma",0.812,"BAR",1,40.625,"BAR_LAG","indval","pres/abs","seed_01","prev_0"
"Pentapodus caninus",0.062,"BAR",0,3.125,"BAR_LAG","indval","pres/abs","seed_01","prev_0"
"Pentapodus nagasakiensis",0.409,"BAR",0,68.75,"BAR_LAG","indval","pres/abs","seed_01","prev_0"
"Plagiotremus rhinorhynchos",0.062,"BAR",0,3.125,"BAR_LAG","indval","pres/abs","seed_01","prev_0"
"Plagiotremus tapeinosoma",0.125,"BAR",0,6.25,"BAR_LAG","indval","pres/abs","seed_01","prev_0"
"Plectropomus leopardus",0.188,"BAR",0,9.375,"BAR_LAG","indval","pres/abs","seed_01","prev_0"
"Pomacanthus imperator",0.062,"BAR",0,3.125,"BAR_LAG","indval","pres/abs","seed_01","prev_0"
"Pomacentrus coelestis",0.312,"BAR",1,15.625,"BAR_LAG","indval","pres/abs","seed_01","prev_0"
"Pomacentrus moluccensis",0.188,"BAR",0,9.375,"BAR_LAG","indval","pres/abs","seed_01","prev_0"
"Pomacentrus nagasakiensis",0.062,"BAR",0,3.125,"BAR_LAG","indval","pres/abs","seed_01","prev_0"
"Pristotis obtusirostris",0.112,"BAR",0,15.625,"BAR_LAG","indval","pres/abs","seed_01","prev_0"
"Pseudalutarius nasicornis",0.321,"LAG",0,21.875,"BAR_LAG","indval","pres/abs","seed_01","prev_0"
"Pseudanthias hypselosoma",0.062,"BAR",0,3.125,"BAR_LAG","indval","pres/abs","seed_01","prev_0"
"Pseudobalistes flavimarginatus",0.062,"BAR",0,3.125,"BAR_LAG","indval","pres/abs","seed_01","prev_0"
"Pseudobalistes fuscus",0.312,"BAR",1,15.625,"BAR_LAG","indval","pres/abs","seed_01","prev_0"
"Pseudocaranx dentex",0.125,"LAG",0,6.25,"BAR_LAG","indval","pres/abs","seed_01","prev_0"
"Ptereleotris microlepis",0.25,"BAR",0,12.5,"BAR_LAG","indval","pres/abs","seed_01","prev_0"
"Pterocaesio marri",0.062,"BAR",0,3.125,"BAR_LAG","indval","pres/abs","seed_01","prev_0"
"Rhinecanthus aculeatus",0.062,"BAR",0,3.125,"BAR_LAG","indval","pres/abs","seed_01","prev_0"
"Scarus ghobban",0.25,"BAR",0,12.5,"BAR_LAG","indval","pres/abs","seed_01","prev_0"
"Scarus longipinnis",0.062,"BAR",0,3.125,"BAR_LAG","indval","pres/abs","seed_01","prev_0"
"Scarus psittacus",0.188,"BAR",0,9.375,"BAR_LAG","indval","pres/abs","seed_01","prev_0"
"Scarus schlegeli",0.125,"BAR",0,6.25,"BAR_LAG","indval","pres/abs","seed_01","prev_0"
"Scomberoides tol",0.062,"BAR",0,3.125,"BAR_LAG","indval","pres/abs","seed_01","prev_0"
"Scomberomorus commerson",0.167,"LAG",0,18.75,"BAR_LAG","indval","pres/abs","seed_01","prev_0"
"Siganus doliatus",0.062,"BAR",0,3.125,"BAR_LAG","indval","pres/abs","seed_01","prev_0"
"Siganus punctatus",0.062,"BAR",0,3.125,"BAR_LAG","indval","pres/abs","seed_01","prev_0"
"Sphyrna mokarran",0.062,"LAG",0,3.125,"BAR_LAG","indval","pres/abs","seed_01","prev_0"
"Stethojulis bandanensis",0.062,"BAR",0,3.125,"BAR_LAG","indval","pres/abs","seed_01","prev_0"
"Stethojulis interrupta",0.375,"BAR",1,18.75,"BAR_LAG","indval","pres/abs","seed_01","prev_0"
"Stethojulis strigiventer",0.188,"BAR",0,9.375,"BAR_LAG","indval","pres/abs","seed_01","prev_0"
"Sufflamen chrysopterum",0.188,"BAR",0,9.375,"BAR_LAG","indval","pres/abs","seed_01","prev_0"
"Sufflamen fraenatum",0.188,"BAR",0,9.375,"BAR_LAG","indval","pres/abs","seed_01","prev_0"
"Synodus variegatus",0.375,"LAG",1,18.75,"BAR_LAG","indval","pres/abs","seed_01","prev_0"
"Taeniura meyeni",0.031,"BAR",0,6.25,"BAR_LAG","indval","pres/abs","seed_01","prev_0"
"Thalassoma lunare",0.688,"BAR",1,34.375,"BAR_LAG","indval","pres/abs","seed_01","prev_0"
"Upeneus moluccensis",0.312,"LAG",1,15.625,"BAR_LAG","indval","pres/abs","seed_01","prev_0"
"Upeneus sundaicus",0.195,"BAR",0,25,"BAR_LAG","indval","pres/abs","seed_01","prev_0"
"Upeneus tragula",0.125,"LAG",0,6.25,"BAR_LAG","indval","pres/abs","seed_01","prev_0"
"Upeneus vittatus",0.125,"LAG",0,6.25,"BAR_LAG","indval","pres/abs","seed_01","prev_0"
"Valenciennea decora",0.062,"BAR",0,3.125,"BAR_LAG","indval","pres/abs","seed_01","prev_0"
"Valenciennea puellaris",0.062,"BAR",0,3.125,"BAR_LAG","indval","pres/abs","seed_01","prev_0"
"Zebrasoma velifer",0.062,"BAR",0,3.125,"BAR_LAG","indval","pres/abs","seed_01","prev_0"
"Abalistes stellatus",0.167,"LAG",0,18.75,"BAY_LAG","indval","pres/abs","seed_01","prev_0"
"Acreichthys tomentosus",0.062,"LAG",0,3.125,"BAY_LAG","indval","pres/abs","seed_01","prev_0"
"Aetobatus narinari",0.062,"LAG",0,3.125,"BAY_LAG","indval","pres/abs","seed_01","prev_0"
"Amblygobius sphynx",0.125,"LAG",0,6.25,"BAY_LAG","indval","pres/abs","seed_01","prev_0"
"Aprion virescens",0.062,"LAG",0,3.125,"BAY_LAG","indval","pres/abs","seed_01","prev_0"
"Arothron stellatus",0.25,"LAG",0,12.5,"BAY_LAG","indval","pres/abs","seed_01","prev_0"
